Key	DISTRIBUTOR	ORDER_CODE	UNIT_PRICE	UNIT_PRICE_10X	UNIT_PRICE_25X	UNIT_PRICE_50X	UNIT_PRICE_100X	UNIT_PRICE_500X	UNIT_PRICE_1000X	CURRENCY	IN_STOCK
DIODESOD:	Digikey	568-4128-1-ND	0.35000	0.27700	0.23360	0.23360	0.19040	0.13024		EUR	IN STOCK
R-EU_R0805:0.1R	Digikey	A109596CT-ND	0.36000	0.27600	0.20960	0.15560	0.11580	0.08382		EUR	IN STOCK
R-EU_R0805:0.33R	Digikey	A109608CT-ND	0.36000	0.27600	0.20960	0.15560	0.11580	0.08382		EUR	IN STOCK
R-EU_R0603:1k											
C-EUC0805:4.7uF											
R-EU_R0603:5.6k											
R-EU_R0603:6k8											
R-EU_R0603:10k											
C-EUC0805:10uF											
INDUCTOR1210:10uH	Digikey	445-4847-1-ND	0.36000	0.32300	0.32300	0.26200	0.24190	0.20964		EUR	IN STOCK
C-EUC0402:22pF											
R-EU_R0603:25k											
R-EU_R0603:31.6k											
R-EU_R0603:62k											
R-EU_R0603:100k											
C-EUC0603:100nF											
CPOL-EUD/7343-31R:100uF	Digikey	718-1744-1-ND	1.23000	1.00200	1.00200	1.00200	0.80660	0.00000		EUR	IN STOCK
C-EUC0805:220nF											
APM2.5_GPS_HEADERHIROSE_DF13_VERTICAL	Digikey	H3396-ND	0.49000	0.46000	0.46000	0.36760	0.35240	0.30640		EUR	IN STOCK
AT32UC3C1512/1256/1128	Digikey	AT32UC3C1512C-AUT-ND	14.23000	14.23000	9.05680	9.05680	8.08620	8.08620		EUR	IN STOCK
AVR32_JTAG+SERIALHIROSE_DF13	Digikey	H3375-ND	0.73000	0.63800	0.63800	0.57480	0.54990	0.44992		EUR	IN STOCK
BMP180	Rutronik	BMP180	3.45								
CRYSTAL:ABM_16MHz	Digikey	535-9840-1-ND	0.77000	0.68300	0.68300	0.63780	0.56440	0.53336		EUR	IN STOCK
HMC5883L	Digikey	342-1082-1-ND	2.66000	1.82100	1.63800	1.53360	1.44840	1.29846		EUR	AVAIL 0/BAL 1 WKS ARO
I2C_BUS_PICOHIROSE_DF13_VERTICAL	Digikey	H2222-ND	0.49000	0.46000	0.46000	0.36760	0.35240	0.30640		EUR	IN STOCK
LM2734	Digikey	LM2734ZMK/NOPBCT-ND	2.82000	2.52800	2.27280	2.27280	1.32260	1.27356		EUR	IN STOCK
LSM330DLC	Mouser	511-LSM330DLC	5.25	4.73	4.30	4.30	3.88			EUR	
MAX3051	Mouser	700-MAX3051EKAT	2.69	2.69	2.02	1.91	1.76				
MC78L05	Digikey	MC78L05ACHXCT-ND	0.41000	0.32500	0.27400	0.27400	0.22330	0.15274		EUR	IN STOCK
MOLEX_CONNECTOR_7PINSHIROSE_DF13	Digikey	H2224-ND	0.60000	0.55600	0.55600	0.44500	0.42650	0.37090		EUR	IN STOCK
MOLEX_CONNECTOR_10PINSHIROSE_DF13	Digikey	H3375-ND	0.73000	0.63800	0.63800	0.57480	0.54990	0.44992		EUR	IN STOCK									
MOSFET-PCHANNELSMD	Digikey	SSM3J328RLF(TCT-ND	0.41000	0.29000	0.24000	0.24000	0.19350	0.11224		EUR	IN STOCK
N-CHANNEL_SOT23	Digikey	IRLML6244TRPBFCT-ND	0.41000	0.23400	0.20160	0.16960	0.15170	0.12408		EUR	IN STOCK
PIEZO_SPEAKERSMALLER	Digikey	102-2197-1-ND	1.98000	1.64100	1.64100	1.64100	1.23090	1.02574		EUR	IN STOCK
POWER											
POWERSMALL_SMD											
SENSOR											
SERVOCONNECTOR_X8STANDARD											
SOLDER_JUMPER_2WAY											
SPEKTRUM_RECEIVER											
SWITCH-MOMENTARY-2SMD-1101NE	Digikey	450-1140-ND	0.15000	0.14300	0.13640	0.13020	0.11780	0.09920		EUR	IN STOCK
USB-MICROB	Digikey	609-4613-1-ND	0.37000	0.34900	0.29920	0.25440	0.24450	0.20954		EUR	IN STOCK
USD-SOCKETNEW	Mouser	517-2908-05WB-MG	1.94	1.94	1.74	1.60	1.42	1.26	1.25	EUR	IN STOCK	
V_REG_MIC5235-3.3	Digikey	576-2784-1-ND	0.89000	0.80300	0.70840	0.70840	0.63760	0.49596		EUR	IN STOCK
XBEE-1B1											
LEDCHIPLED_0805_GREEN:green	Digikey	754-1057-1-ND	0.25000	0.18900	0.15080	0.15080	0.13630	0.11320		EUR	IN STOCK
LEDCHIPLED_0805_RED:red	Digikey	754-1132-1-ND	0.15000	0.11300	0.09000	0.09000	0.08130	0.06748		EUR	IN STOCK
